Infinitive,пи́скнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пи́скнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пи́скнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пи́скнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пи́скну
2nd Sing,пи́скнешь
3rd Sing,пи́скнет
1st Pl,пи́скнем
2nd Pl,пи́скнете
3rd Pl,пи́скнут
Past M,пи́скнул
Past F,пи́скнула
Past N,пи́скнуло
Past PL,пи́скнули
Imp S,пи́скни
Imp PL,пи́скните
