Infinitive,писа́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пи́шущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,писа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пи́санный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,пиша́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,писа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,писа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пишу́
2nd Sing,пи́шешь
3rd Sing,пи́шет
1st Pl,пи́шем
2nd Pl,пи́шете
3rd Pl,пи́шут
Past M,писа́л
Past F,писа́ла
Past N,писа́ло
Past PL,писа́ли
Imp S,пиши́
Imp PL,пиши́те
