Infinitive,пихну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пихну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пихну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пихну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пихну́
2nd Sing,пихнёшь
3rd Sing,пихнёт
1st Pl,пихнём
2nd Pl,пихнёте
3rd Pl,пихну́т
Past M,пихну́л
Past F,пихну́ла
Past N,пихну́ло
Past PL,пихну́ли
Imp S,пихни́
Imp PL,пихни́те
