Infinitive,пи́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пи́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пи́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пи́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пи́кну
2nd Sing,пи́кнешь
3rd Sing,пи́кнет
1st Pl,пи́кнем
2nd Pl,пи́кнете
3rd Pl,пи́кнут
Past M,пи́кнул
Past F,пи́кнула
Past N,пи́кнуло
Past PL,пи́кнули
Imp S,пи́кни
Imp PL,пи́кните
