Infinitive,оживи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оживи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оживи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оживлю́сь
2nd Sing,оживи́шься
3rd Sing,оживи́тся
1st Pl,оживи́мся
2nd Pl,оживи́тесь
3rd Pl,оживя́тся
Past M,оживи́лся
Past F,оживи́лась
Past N,оживи́лось
Past PL,оживи́лись
Imp S,оживи́сь
Imp PL,оживи́тесь
