Infinitive,ожи́ть
Zaliznyak Class,16b/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ожи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ожи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ожи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,оживу́
2nd Sing,оживёшь
3rd Sing,оживёт
1st Pl,оживём
2nd Pl,оживёте
3rd Pl,оживу́т
Past M,о́жил
Past F,ожила́
Past N,о́жило
Past PL,о́жили
Imp S,оживи́
Imp PL,оживи́те
