Infinitive,ожида́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ожида́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ожида́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ожида́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ожида́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ожида́юсь
2nd Sing,ожида́ешься
3rd Sing,ожида́ется
1st Pl,ожида́емся
2nd Pl,ожида́етесь
3rd Pl,ожида́ются
Past M,ожида́лся
Past F,ожида́лась
Past N,ожида́лось
Past PL,ожида́лись
Imp S,ожида́йся
Imp PL,ожида́йтесь
