Infinitive,ча́вкать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ча́вкающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ча́вкавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ча́вкая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ча́вкав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ча́вкавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ча́вкаю
2nd Sing,ча́вкаешь
3rd Sing,ча́вкает
1st Pl,ча́вкаем
2nd Pl,ча́вкаете
3rd Pl,ча́вкают
Past M,ча́вкал
Past F,ча́вкала
Past N,ча́вкало
Past PL,ча́вкали
Imp S,ча́вкай
Imp PL,ча́вкайте
