Infinitive,ча́хнуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ча́хнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ча́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ча́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ча́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ча́хну
2nd Sing,ча́хнешь
3rd Sing,ча́хнет
1st Pl,ча́хнем
2nd Pl,ча́хнете
3rd Pl,ча́хнут
Past M,ча́х
Past F,ча́хла
Past N,ча́хло
Past PL,ча́хли
Imp S,ча́хни
Imp PL,ча́хните
