Infinitive,дуде́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дудя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дуде́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дудя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дуде́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дуде́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
2nd Sing,дуди́шь
3rd Sing,дуди́т
1st Pl,дуди́м
2nd Pl,дуди́те
3rd Pl,дудя́т
Past M,дуде́л
Past F,дуде́ла
Past N,дуде́ло
Past PL,дуде́ли
Imp S,дуди́
Imp PL,дуди́те
