Infinitive,ду́ться
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ду́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ду́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ду́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ду́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ду́юсь
2nd Sing,ду́ешься
3rd Sing,ду́ется
1st Pl,ду́емся
2nd Pl,ду́етесь
3rd Pl,ду́ются
Past M,ду́лся
Past F,ду́лась
Past N,ду́лось
Past PL,ду́лись
Imp S,ду́йся
Imp PL,ду́йтесь
