Infinitive,ду́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ду́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ду́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ду́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ду́ну
2nd Sing,ду́нешь
3rd Sing,ду́нет
1st Pl,ду́нем
2nd Pl,ду́нете
3rd Pl,ду́нут
Past M,ду́нул
Past F,ду́нула
Past N,ду́нуло
Past PL,ду́нули
Imp S,ду́нь
Imp PL,ду́ньте
