Infinitive,ду́мать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ду́мающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ду́мавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ду́мая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ду́мав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ду́мавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ду́маю
2nd Sing,ду́маешь
3rd Sing,ду́мает
1st Pl,ду́маем
2nd Pl,ду́маете
3rd Pl,ду́мают
Past M,ду́мал
Past F,ду́мала
Past N,ду́мало
Past PL,ду́мали
Imp S,ду́май
Imp PL,ду́майте
