Infinitive,дуре́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дуре́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дуре́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дуре́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дуре́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дуре́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дуре́ю
2nd Sing,дуре́ешь
3rd Sing,дуре́ет
1st Pl,дуре́ем
2nd Pl,дуре́ете
3rd Pl,дуре́ют
Past M,дуре́л
Past F,дуре́ла
Past N,дуре́ло
Past PL,дуре́ли
Imp S,дуре́й
Imp PL,дуре́йте
