Infinitive,ду́маться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ду́мающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ду́мавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ду́маясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ду́мавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ду́маюсь
2nd Sing,ду́маешься
3rd Sing,ду́мается
1st Pl,ду́маемся
2nd Pl,ду́маетесь
3rd Pl,ду́маются
Past M,ду́мался
Past F,ду́малась
Past N,ду́малось
Past PL,ду́мались
Imp S,ду́майся
Imp PL,ду́майтесь
