Infinitive,дура́читься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дура́чащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дура́чившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дура́чась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дура́чившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дура́чусь
2nd Sing,дура́чишься
3rd Sing,дура́чится
1st Pl,дура́чимся
2nd Pl,дура́читесь
3rd Pl,дура́чатся
Past M,дура́чился
Past F,дура́чилась
Past N,дура́чилось
Past PL,дура́чились
Imp S,дура́чься
Imp PL,дура́чьтесь
