Infinitive,целова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,целу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,целова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,целу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,целова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,целу́юсь
2nd Sing,целу́ешься
3rd Sing,целу́ется
1st Pl,целу́емся
2nd Pl,целу́етесь
3rd Pl,целу́ются
Past M,целова́лся
Past F,целова́лась
Past N,целова́лось
Past PL,целова́лись
Imp S,целу́йся
Imp PL,целу́йтесь
