Infinitive,цепене́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,цепене́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,цепене́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,цепене́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,цепене́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,цепене́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,цепене́ю
2nd Sing,цепене́ешь
3rd Sing,цепене́ет
1st Pl,цепене́ем
2nd Pl,цепене́ете
3rd Pl,цепене́ют
Past M,цепене́л
Past F,цепене́ла
Past N,цепене́ло
Past PL,цепене́ли
Imp S,цепене́й
Imp PL,цепене́йте
