Infinitive,цепля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,цепля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,цепля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,цепля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,цепля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,цепля́юсь
2nd Sing,цепля́ешься
3rd Sing,цепля́ется
1st Pl,цепля́емся
2nd Pl,цепля́етесь
3rd Pl,цепля́ются
Past M,цепля́лся
Past F,цепля́лась
Past N,цепля́лось
Past PL,цепля́лись
Imp S,цепля́йся
Imp PL,цепля́йтесь
