Infinitive,це́литься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,це́лящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,це́лившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,це́лясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,це́лившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,це́люсь
2nd Sing,це́лишься
3rd Sing,це́лится
1st Pl,це́лимся
2nd Pl,це́литесь
3rd Pl,це́лятся
Past M,це́лился
Past F,це́лилась
Past N,це́лилось
Past PL,це́лились
Imp S,це́лься
Imp PL,це́льтесь
