Infinitive,цени́ться
Zaliznyak Class,4c④
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,цени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,цени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ценю́сь
2nd Sing,це́нишься
3rd Sing,це́нится
1st Pl,це́нимся
2nd Pl,це́нитесь
3rd Pl,це́нятся
Past M,цени́лся
Past F,цени́лась
Past N,цени́лось
Past PL,цени́лись
Imp S,цени́сь
Imp PL,цени́тесь
