Infinitive,церемо́ниться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,церемо́нящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,церемо́нившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,церемо́нясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,церемо́нившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,церемо́нюсь
2nd Sing,церемо́нишься
3rd Sing,церемо́нится
1st Pl,церемо́нимся
2nd Pl,церемо́нитесь
3rd Pl,церемо́нятся
Past M,церемо́нился
Past F,церемо́нилась
Past N,церемо́нилось
Past PL,церемо́нились
Imp S,церемо́нься
Imp PL,церемо́ньтесь
