Infinitive,сжима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сжима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сжима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сжима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сжима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сжима́юсь
2nd Sing,сжима́ешься
3rd Sing,сжима́ется
1st Pl,сжима́емся
2nd Pl,сжима́етесь
3rd Pl,сжима́ются
Past M,сжима́лся
Past F,сжима́лась
Past N,сжима́лось
Past PL,сжима́лись
Imp S,сжима́йся
Imp PL,сжима́йтесь
