Infinitive,сжа́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сжа́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сжа́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сжа́люсь
2nd Sing,сжа́лишься
3rd Sing,сжа́лится
1st Pl,сжа́лимся
2nd Pl,сжа́литесь
3rd Pl,сжа́лятся
Past M,сжа́лился
Past F,сжа́лилась
Past N,сжа́лилось
Past PL,сжа́лились
Imp S,сжа́лься
Imp PL,сжа́льтесь
