Infinitive,сжа́ться
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сжа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сжа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сожму́сь
2nd Sing,сожмёшься
3rd Sing,сожмётся
1st Pl,сожмёмся
2nd Pl,сожмётесь
3rd Pl,сожму́тся
Past M,сжа́лся
Past F,сжа́лась
Past N,сжа́лось
Past PL,сжа́лись
Imp S,сожми́сь
Imp PL,сожми́тесь
