Infinitive,сже́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сжёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сожжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сжёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сожгу́
2nd Sing,сожжёшь
3rd Sing,сожжёт
1st Pl,сожжём
2nd Pl,сожжёте
3rd Pl,сожгу́т
Past M,сжёг
Past F,сожгла́
Past N,сожгло́
Past PL,сожгли́
Imp S,сожги́
Imp PL,сожги́те
