Infinitive,сучи́ть
Zaliznyak Class,4c // 4b⑧
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,суча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сучи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сучи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,су́ченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,суча́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,сучи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,сучи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,сучу́
2nd Sing,су́чишь
3rd Sing,су́чит
1st Pl,су́чим
2nd Pl,су́чите
3rd Pl,су́чат
Past M,сучи́л
Past F,сучи́ла
Past N,сучи́ло
Past PL,сучи́ли
Imp S,сучи́
Imp PL,сучи́те
