Infinitive,суди́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,судя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,суди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,судя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,суди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сужу́сь
2nd Sing,су́дишься
3rd Sing,су́дится
1st Pl,су́димся
2nd Pl,су́дитесь
3rd Pl,су́дятся
Past M,суди́лся
Past F,суди́лась
Past N,суди́лось
Past PL,суди́лись
Imp S,суди́сь
Imp PL,суди́тесь
