Infinitive,сужа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сужа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сужа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сужа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сужа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сужа́юсь
2nd Sing,сужа́ешься
3rd Sing,сужа́ется
1st Pl,сужа́емся
2nd Pl,сужа́етесь
3rd Pl,сужа́ются
Past M,сужа́лся
Past F,сужа́лась
Past N,сужа́лось
Past PL,сужа́лись
Imp S,сужа́йся
Imp PL,сужа́йтесь
