Infinitive,суши́ться
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,су́шащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,суши́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,суша́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,суши́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сушу́сь
2nd Sing,су́шишься
3rd Sing,су́шится
1st Pl,су́шимся
2nd Pl,су́шитесь
3rd Pl,су́шатся
Past M,суши́лся
Past F,суши́лась
Past N,суши́лось
Past PL,суши́лись
Imp S,суши́сь
Imp PL,суши́тесь
