Infinitive,су́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,су́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,су́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,су́нусь
2nd Sing,су́нешься
3rd Sing,су́нется
1st Pl,су́немся
2nd Pl,су́нетесь
3rd Pl,су́нутся
Past M,су́нулся
Past F,су́нулась
Past N,су́нулось
Past PL,су́нулись
Imp S,су́нься
Imp PL,су́ньтесь
