Infinitive,суме́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,суме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,суме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,суме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,суме́ю
2nd Sing,суме́ешь
3rd Sing,суме́ет
1st Pl,суме́ем
2nd Pl,суме́ете
3rd Pl,суме́ют
Past M,суме́л
Past F,суме́ла
Past N,суме́ло
Past PL,суме́ли
Imp S,суме́й
Imp PL,суме́йте
