Infinitive,суту́литься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,суту́лящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,суту́лившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,суту́лясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,суту́лившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,суту́люсь
2nd Sing,суту́лишься
3rd Sing,суту́лится
1st Pl,суту́лимся
2nd Pl,суту́литесь
3rd Pl,суту́лятся
Past M,суту́лился
Past F,суту́лилась
Past N,суту́лилось
Past PL,суту́лились
Imp S,суту́лься
Imp PL,суту́льтесь
