Infinitive,су́зиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,су́зившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,су́зившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,су́жусь
2nd Sing,су́зишься
3rd Sing,су́зится
1st Pl,су́зимся
2nd Pl,су́зитесь
3rd Pl,су́зятся
Past M,су́зился
Past F,су́зилась
Past N,су́зилось
Past PL,су́зились
Imp S,су́зься
Imp PL,су́зьтесь
