Infinitive,сули́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,суля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сули́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сули́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сулённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,суля́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,сули́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,сули́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,сулю́
2nd Sing,сули́шь
3rd Sing,сули́т
1st Pl,сули́м
2nd Pl,сули́те
3rd Pl,суля́т
Past M,сули́л
Past F,сули́ла
Past N,сули́ло
Past PL,сули́ли
Imp S,сули́
Imp PL,сули́те
