Infinitive,суши́ть
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,су́шащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,суши́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,суши́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,су́шенный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,суша́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,суши́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,суши́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,сушу́
2nd Sing,су́шишь
3rd Sing,су́шит
1st Pl,су́шим
2nd Pl,су́шите
3rd Pl,су́шат
Past M,суши́л
Past F,суши́ла
Past N,суши́ло
Past PL,суши́ли
Imp S,суши́
Imp PL,суши́те
