Infinitive,суети́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,суетя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,суети́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,суетя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,суети́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,суечу́сь
2nd Sing,суети́шься
3rd Sing,суети́тся
1st Pl,суети́мся
2nd Pl,суети́тесь
3rd Pl,суетя́тся
Past M,суети́лся
Past F,суети́лась
Past N,суети́лось
Past PL,суети́лись
Imp S,суети́сь
Imp PL,суети́тесь
