Infinitive,омы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,омы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,омы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,омы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,омы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,омо́ю
2nd Sing,омо́ешь
3rd Sing,омо́ет
1st Pl,омо́ем
2nd Pl,омо́ете
3rd Pl,омо́ют
Past M,омы́л
Past F,омы́ла
Past N,омы́ло
Past PL,омы́ли
Imp S,омо́й
Imp PL,омо́йте
