Infinitive,одолжи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,одолжи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,одолжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,одолжи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,одолжи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,одолжу́
2nd Sing,одолжи́шь
3rd Sing,одолжи́т
1st Pl,одолжи́м
2nd Pl,одолжи́те
3rd Pl,одолжа́т
Past M,одолжи́л
Past F,одолжи́ла
Past N,одолжи́ло
Past PL,одолжи́ли
Imp S,одолжи́
Imp PL,одолжи́те
