Infinitive,оду́маться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оду́мавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оду́мавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оду́маюсь
2nd Sing,оду́маешься
3rd Sing,оду́мается
1st Pl,оду́маемся
2nd Pl,оду́маетесь
3rd Pl,оду́маются
Past M,оду́мался
Past F,оду́малась
Past N,оду́малось
Past PL,оду́мались
Imp S,оду́майся
Imp PL,оду́майтесь
