Infinitive,оде́рживать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оде́рживающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оде́рживавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оде́рживаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оде́рживая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,оде́рживав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,оде́рживавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,оде́рживаю
2nd Sing,оде́рживаешь
3rd Sing,оде́рживает
1st Pl,оде́рживаем
2nd Pl,оде́рживаете
3rd Pl,оде́рживают
Past M,оде́рживал
Past F,оде́рживала
Past N,оде́рживало
Past PL,оде́рживали
Imp S,оде́рживай
Imp PL,оде́рживайте
