Infinitive,одурма́нить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,одурма́нивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,одурма́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,одурма́нив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,одурма́нивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,одурма́ню
2nd Sing,одурма́нишь
3rd Sing,одурма́нит
1st Pl,одурма́ним
2nd Pl,одурма́ните
3rd Pl,одурма́нят
Past M,одурма́нил
Past F,одурма́нила
Past N,одурма́нило
Past PL,одурма́нили
Imp S,одурма́нь
Imp PL,одурма́ньте
