Infinitive,оде́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оде́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оде́ну
2nd Sing,оде́нешь
3rd Sing,оде́нет
1st Pl,оде́нем
2nd Pl,оде́нете
3rd Pl,оде́нут
Past M,оде́л
Past F,оде́ла
Past N,оде́ло
Past PL,оде́ли
Imp S,оде́нь
Imp PL,оде́ньте
