Infinitive,одержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,одержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,одержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,одержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,одержу́
2nd Sing,оде́ржишь
3rd Sing,оде́ржит
1st Pl,оде́ржим
2nd Pl,оде́ржите
3rd Pl,оде́ржат
Past M,одержа́л
Past F,одержа́ла
Past N,одержа́ло
Past PL,одержа́ли
Imp S,одержи́
Imp PL,одержи́те
