Infinitive,одуре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,одуре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,одуре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,одуре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,одуре́ю
2nd Sing,одуре́ешь
3rd Sing,одуре́ет
1st Pl,одуре́ем
2nd Pl,одуре́ете
3rd Pl,одуре́ют
Past M,одуре́л
Past F,одуре́ла
Past N,одуре́ло
Past PL,одуре́ли
Imp S,одуре́й
Imp PL,одуре́йте
