Infinitive,одеревене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,одеревене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,одеревене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,одеревене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,одеревене́ю
2nd Sing,одеревене́ешь
3rd Sing,одеревене́ет
1st Pl,одеревене́ем
2nd Pl,одеревене́ете
3rd Pl,одеревене́ют
Past M,одеревене́л
Past F,одеревене́ла
Past N,одеревене́ло
Past PL,одеревене́ли
Imp S,одеревене́й
Imp PL,одеревене́йте
