Infinitive,одо́брить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,одо́бривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,одо́бренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,одо́брив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,одо́бривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,одо́брю
2nd Sing,одо́бришь
3rd Sing,одо́брит
1st Pl,одо́брим
2nd Pl,одо́брите
3rd Pl,одо́брят
Past M,одо́брил
Past F,одо́брила
Past N,одо́брило
Past PL,одо́брили
Imp S,одо́бри
Imp PL,одо́брите
