Infinitive,одича́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,одича́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,одича́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,одича́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,одича́ю
2nd Sing,одича́ешь
3rd Sing,одича́ет
1st Pl,одича́ем
2nd Pl,одича́ете
3rd Pl,одича́ют
Past M,одича́л
Past F,одича́ла
Past N,одича́ло
Past PL,одича́ли
Imp S,одича́й
Imp PL,одича́йте
