Infinitive,оде́ться
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,оде́нусь
2nd Sing,оде́нешься
3rd Sing,оде́нется
1st Pl,оде́немся
2nd Pl,оде́нетесь
3rd Pl,оде́нутся
Past M,оде́лся
Past F,оде́лась
Past N,оде́лось
Past PL,оде́лись
Imp S,оде́нься
Imp PL,оде́ньтесь
