Infinitive,оробе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,оробе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оробе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,оробе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,оробе́ю
2nd Sing,оробе́ешь
3rd Sing,оробе́ет
1st Pl,оробе́ем
2nd Pl,оробе́ете
3rd Pl,оробе́ют
Past M,оробе́л
Past F,оробе́ла
Past N,оробе́ло
Past PL,оробе́ли
Imp S,оробе́й
Imp PL,оробе́йте
