Infinitive,ору́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ору́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ору́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ору́дуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ору́довав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ору́довавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ору́дую
2nd Sing,ору́дуешь
3rd Sing,ору́дует
1st Pl,ору́дуем
2nd Pl,ору́дуете
3rd Pl,ору́дуют
Past M,ору́довал
Past F,ору́довала
Past N,ору́довало
Past PL,ору́довали
Imp S,ору́дуй
Imp PL,ору́дуйте
