Infinitive,ора́ть
Zaliznyak Class,6°b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ору́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ора́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,о́ранный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,оря́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ора́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ора́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,ору́
2nd Sing,орёшь
3rd Sing,орёт
1st Pl,орём
2nd Pl,орёте
3rd Pl,ору́т
Past M,ора́л
Past F,ора́ла
Past N,ора́ло
Past PL,ора́ли
Imp S,ори́
Imp PL,ори́те
