Infinitive,ориенти́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ориенти́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ориенти́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ориенти́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ориенти́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ориенти́руюсь
2nd Sing,ориенти́руешься
3rd Sing,ориенти́руется
1st Pl,ориенти́руемся
2nd Pl,ориенти́руетесь
3rd Pl,ориенти́руются
Past M,ориенти́ровался
Past F,ориенти́ровалась
Past N,ориенти́ровалось
Past PL,ориенти́ровались
Imp S,ориенти́руйся
Imp PL,ориенти́руйтесь
