Infinitive,ло́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ло́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ло́пнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ло́пнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ло́пну
2nd Sing,ло́пнешь
3rd Sing,ло́пнет
1st Pl,ло́пнем
2nd Pl,ло́пнете
3rd Pl,ло́пнут
Past M,ло́пнул
Past F,ло́пнула
Past N,ло́пнуло
Past PL,ло́пнули
Imp S,ло́пни
Imp PL,ло́пните
