Infinitive,ло́паться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ло́пающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ло́павшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ло́паясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ло́павшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ло́паюсь
2nd Sing,ло́паешься
3rd Sing,ло́пается
1st Pl,ло́паемся
2nd Pl,ло́паетесь
3rd Pl,ло́паются
Past M,ло́пался
Past F,ло́палась
Past N,ло́палось
Past PL,ло́пались
Imp S,ло́пайся
Imp PL,ло́пайтесь
