Infinitive,ловчи́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ловча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ловчи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ловча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ловчи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ловчи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ловчу́
2nd Sing,ловчи́шь
3rd Sing,ловчи́т
1st Pl,ловчи́м
2nd Pl,ловчи́те
3rd Pl,ловча́т
Past M,ловчи́л
Past F,ловчи́ла
Past N,ловчи́ло
Past PL,ловчи́ли
Imp S,ловчи́
Imp PL,ловчи́те
