Infinitive,лови́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ловя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лови́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ловя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лови́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ловлю́сь
2nd Sing,ло́вишься
3rd Sing,ло́вится
1st Pl,ло́вимся
2nd Pl,ло́витесь
3rd Pl,ло́вятся
Past M,лови́лся
Past F,лови́лась
Past N,лови́лось
Past PL,лови́лись
Imp S,лови́сь
Imp PL,лови́тесь
