Infinitive,лосни́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,лосня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лосни́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лосня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лосни́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лосню́сь
2nd Sing,лосни́шься
3rd Sing,лосни́тся
1st Pl,лосни́мся
2nd Pl,лосни́тесь
3rd Pl,лосня́тся
Past M,лосни́лся
Past F,лосни́лась
Past N,лосни́лось
Past PL,лосни́лись
Imp S,лосни́сь
Imp PL,лосни́тесь
