Infinitive,ломи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ломя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ломи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ломя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ломи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ломлю́сь
2nd Sing,ло́мишься
3rd Sing,ло́мится
1st Pl,ло́мимся
2nd Pl,ло́митесь
3rd Pl,ло́мятся
Past M,ломи́лся
Past F,ломи́лась
Past N,ломи́лось
Past PL,ломи́лись
Imp S,ломи́сь
Imp PL,ломи́тесь
