Infinitive,ложи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ложа́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ложи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ложа́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ложи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ложу́сь
2nd Sing,ложи́шься
3rd Sing,ложи́тся
1st Pl,ложи́мся
2nd Pl,ложи́тесь
3rd Pl,ложа́тся
Past M,ложи́лся
Past F,ложи́лась
Past N,ложи́лось
Past PL,ложи́лись
Imp S,ложи́сь
Imp PL,ложи́тесь
