Infinitive,лома́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,лома́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лома́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лома́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лома́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лома́юсь
2nd Sing,лома́ешься
3rd Sing,лома́ется
1st Pl,лома́емся
2nd Pl,лома́етесь
3rd Pl,лома́ются
Past M,лома́лся
Past F,лома́лась
Past N,лома́лось
Past PL,лома́лись
Imp S,лома́йся
Imp PL,лома́йтесь
