Infinitive,ночева́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ночу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ночева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ночу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ночева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ночева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ночу́ю
2nd Sing,ночу́ешь
3rd Sing,ночу́ет
1st Pl,ночу́ем
2nd Pl,ночу́ете
3rd Pl,ночу́ют
Past M,ночева́л
Past F,ночева́ла
Past N,ночева́ло
Past PL,ночева́ли
Imp S,ночу́й
Imp PL,ночу́йте
