Infinitive,носи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,носи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,носи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ношу́сь
2nd Sing,но́сишься
3rd Sing,но́сится
1st Pl,но́симся
2nd Pl,но́ситесь
3rd Pl,но́сятся
Past M,носи́лся
Past F,носи́лась
Past N,носи́лось
Past PL,носи́лись
Imp S,носи́сь
Imp PL,носи́тесь
