Infinitive,мо́рщиться
Zaliznyak Class,4a[③]
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,мо́рщащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мо́рщившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мо́рщась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мо́рщившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,мо́рщусь
2nd Sing,мо́рщишься
3rd Sing,мо́рщится
1st Pl,мо́рщимся
2nd Pl,мо́рщитесь
3rd Pl,мо́рщатся
Past M,мо́рщился
Past F,мо́рщилась
Past N,мо́рщилось
Past PL,мо́рщились
Imp S,мо́рщись
Imp PL,мо́рщьтесь
